engagementRate,uniqueActors,uniqueViewers,engagements,impressions,URL
0.666666667,40,60,50,180,https://www.businesswire.com/news/home/20181012005303/en/Steve-Martin-Vice-President-Human-Resources-Marcus
0.214285714,30,140,50,200,https://www.businesswire.com/news/home/20181015005180/en/NetApp-Appoints-Debra-McCowan-Chief-Human-Resources
0.1,80,800,170,1120,https://www.businesswire.com/news/home/20181016005400/en/Zscaler-Appoints-Kavitha-Mariappan-Senior-Vice-President
0.0375,60,1600,140,1600,https://www.businesswire.com/news/home/20181017005097/en/Moody%E2%80%99s-Names-Derek-Vadala-Global-Head-Cyber
0.277777778,100,360,90,240,https://www.businesswire.com/news/home/20181023005236/en/Partners-Elected-Board-Directors-BDO-USA-LLP
0,0,80,30,40,https://www.businesswire.com/news/home/20181023005378/en/Hilton-Announces-Innovative-New-Hotel-Brand-%E2%80%98Motto
0,0,60,50,200,https://www.businesswire.com/news/home/20181025005383/en/McKinsey-Company-Releases-World-First-Study-Quantifying-Financial
0,0,80,50,60,https://www.businesswire.com/news/home/20181030005389/en/SEMA-Announces-Vehicles-Year
0.208333333,100,480,120,580,https://www.businesswire.com/news/home/20181030005753/en/Fischer-Hires-Chief-Revenue-Officer-Enhance-Continued
0,0,80,40,60,https://www.campaignlive.co.uk/article/artefact-promises-genuine-alternative-agencies-consultancies-uk-launch/1497069
0,0,100,40,60,https://www.checkpoint.com/press/2018/check-point-software-to-acquire-dome9-to-transform-cloud-security
0.1125,90,800,130,760,https://www.chicagobusiness.com/html-page/819961
0.097222222,70,720,100,620,https://www.cio.com/article/3237087/startups/10-hot-startups-targeting-todays-key-it-initiatives.html
0,0,100,30,120,https://www.cnbc.com/2018/10/09/cybersecurity-isnt-being-taken-seriously-enough-mit-professor.html
0.113207547,120,1060,120,1360,https://www.cnbc.com/2018/10/23/why-workday-disrupted-adaptive-insights-ipo-to-take-it-over-ceos.html
0,0,0,50,0,https://www.computerweekly.com/news/252451809/SAPs-Atzberger-vaunts-front-to-back-office-capability
0.333333333,40,120,50,80,https://www.crainscleveland.com/notable-women-finance-2018/kim-jenkins-manigault
0,0,80,30,80,https://www.crcpress.com/Voices-of-Innovation-Fulfilling-the-Promise-of-Information-Technology-in/Marx/p/book/9781498769686
0.176470588,60,340,120,100,https://www.dallasnews.com/business/energy/2018/10/09/older-oil-wells-permian-basin-may-drying-faster-expected
0,0,0,30,0,https://www.datacamp.com/instructors/stefanc7679de853c74cadb413cd65b3c3dd74
0,0,0,30,0,https://www.datanami.com/2018/10/22/darpa-embraces-common-sense-approach-to-ai/
0,0,0,50,0,https://www.dhs.gov/publication/security-and-resiliency-guide-and-annexes
0.104166667,100,960,100,900,https://www.digitaltrends.com/dt-daily/the-problem-with-microsoft-to-do/
